metric1,metric2,rank_difference,critical_difference,significant
renyi_2.0,hellinger,1.7142857142857135,17.214591234132712,False
renyi_2.0,energy,9.5,17.214591234132712,False
renyi_2.0,polarization_3.5,3.2857142857142856,17.214591234132712,False
renyi_2.0,bregman_squared,5.7142857142857135,17.214591234132712,False
renyi_2.0,bregman_entropy,1.2857142857142856,17.214591234132712,False
renyi_2.0,itc,1.0,17.214591234132712,False
renyi_2.0,itc_alpha1.3,4.642857142857142,17.214591234132712,False
renyi_2.0,itc_alpha1.7,0.14285714285714324,17.214591234132712,False
renyi_2.0,shannon_polarization,0.0,17.214591234132712,False
renyi_2.0,tsallis_hellinger,2.071428571428571,17.214591234132712,False
tsallis_0.5,tsallis_1.3,10.357142857142858,17.214591234132712,False
tsallis_0.5,tsallis_2.0,12.285714285714286,17.214591234132712,False
