dataset,combination,gamma,run,accuracy,tree_depth,training_time
iris,shannon_polarization,0.4,1,0.9777777777777777,5,0.12106847763061523
iris,shannon_polarization,0.4,2,0.9555555555555556,5,0.11992359161376953
iris,shannon_polarization,0.5,0,0.9333333333333333,6,0.09417247772216797
iris,shannon_polarization,0.5,1,0.9777777777777777,5,0.11946892738342285
iris,shannon_polarization,0.5,2,0.9555555555555556,5,0.10680150985717773
iris,shannon_polarization,0.6,0,0.9333333333333333,6,0.09619879722595215
iris,shannon_polarization,0.6,1,0.9555555555555556,6,0.12215161323547363
iris,shannon_polarization,0.6,2,0.9555555555555556,4,0.09087586402893066
iris,shannon_polarization,0.7,0,0.9333333333333333,6,0.09363436698913574
iris,shannon_polarization,0.7,1,0.9555555555555556,6,0.12311387062072754
iris,shannon_polarization,0.7,2,0.9555555555555556,4,0.09611344337463379
iris,shannon_polarization,0.8,0,0.9333333333333333,6,0.10732245445251465
iris,shannon_polarization,0.8,1,0.9555555555555556,6,0.12171268463134766
iris,shannon_polarization,0.8,2,0.9555555555555556,4,0.0907449722290039
iris,shannon_polarization,0.9,0,0.9333333333333333,6,0.0951380729675293
iris,shannon_polarization,0.9,1,0.9555555555555556,6,0.12247490882873535
iris,shannon_polarization,0.9,2,0.9555555555555556,4,0.09113001823425293
iris,tsallis_hellinger,0.1,0,0.8666666666666667,5,0.10312247276306152
iris,tsallis_hellinger,0.1,1,0.9111111111111111,5,0.1183936595916748
iris,tsallis_hellinger,0.1,2,0.9555555555555556,4,0.1049647331237793
iris,tsallis_hellinger,0.2,0,0.8666666666666667,5,0.10444021224975586
iris,tsallis_hellinger,0.2,1,0.9777777777777777,5,0.13254761695861816
iris,tsallis_hellinger,0.2,2,0.9555555555555556,4,0.10428023338317871
iris,tsallis_hellinger,0.3,0,0.9111111111111111,5,0.10362887382507324
iris,tsallis_hellinger,0.3,1,0.9777777777777777,5,0.11983847618103027
iris,tsallis_hellinger,0.3,2,0.9555555555555556,4,0.10381412506103516
iris,tsallis_hellinger,0.4,0,0.9111111111111111,5,0.10457515716552734
