dataset,metric,alpha,beta,gamma,run,accuracy,tree_depth,tree_size,training_time
iris,itc_alpha1.0_beta4.0_gamma0.1,1.0,4.0,0.1,2,0.9555555555555556,4,11,0.10515308380126953
iris,itc_alpha1.0_beta4.0_gamma0.2,1.0,4.0,0.2,0,0.8888888888888888,6,13,0.10245418548583984
iris,itc_alpha1.0_beta4.0_gamma0.2,1.0,4.0,0.2,1,0.9777777777777777,5,15,0.12552380561828613
iris,itc_alpha1.0_beta4.0_gamma0.2,1.0,4.0,0.2,2,0.9555555555555556,4,11,0.10477805137634277
iris,itc_alpha1.0_beta4.0_gamma0.3,1.0,4.0,0.3,0,0.9333333333333333,6,15,0.09492611885070801
iris,itc_alpha1.0_beta4.0_gamma0.3,1.0,4.0,0.3,1,0.9777777777777777,5,15,0.12454557418823242
iris,itc_alpha1.0_beta4.0_gamma0.3,1.0,4.0,0.3,2,0.9555555555555556,5,15,0.10748672485351562
iris,itc_alpha1.0_beta4.0_gamma0.4,1.0,4.0,0.4,0,0.9333333333333333,6,15,0.10996103286743164
iris,itc_alpha1.0_beta4.0_gamma0.4,1.0,4.0,0.4,1,0.9555555555555556,6,19,0.13444781303405762
iris,itc_alpha1.0_beta4.0_gamma0.4,1.0,4.0,0.4,2,0.9555555555555556,4,13,0.09227705001831055
iris,itc_alpha1.0_beta4.0_gamma0.5,1.0,4.0,0.5,0,0.9333333333333333,6,15,0.11064720153808594
iris,itc_alpha1.0_beta4.0_gamma0.5,1.0,4.0,0.5,1,0.9555555555555556,6,19,0.13890814781188965
iris,itc_alpha1.0_beta4.0_gamma0.5,1.0,4.0,0.5,2,0.9555555555555556,4,13,0.09227752685546875
iris,itc_alpha1.0_beta4.0_gamma0.6,1.0,4.0,0.6,0,0.9333333333333333,6,15,0.09457612037658691
iris,itc_alpha1.0_beta4.0_gamma0.6,1.0,4.0,0.6,1,0.9777777777777777,6,17,0.11676883697509766
iris,itc_alpha1.0_beta4.0_gamma0.6,1.0,4.0,0.6,2,0.9555555555555556,4,13,0.09175324440002441
iris,itc_alpha1.0_beta4.0_gamma0.7,1.0,4.0,0.7,0,0.9333333333333333,6,15,0.10888099670410156
