dataset,metric,run,accuracy,log_loss,tree_depth,tree_size,training_time,n_features,n_classes,n_samples
breast_cancer,itc_alpha1.3,4,0.9707602339181286,1.0539079938338352,10,33,15.90654444694519,30,2,569
breast_cancer,itc_alpha1.7,4,0.9590643274853801,1.475471191367369,10,33,19.53642749786377,30,2,569
breast_cancer,shannon_polarization,4,0.9649122807017544,1.264689592600602,7,27,12.184977293014526,30,2,569
breast_cancer,tsallis_hellinger,4,0.935672514619883,2.3185975864344366,5,25,15.461702108383179,30,2,569
digits,gini,0,0.85,5.406548008367572,11,241,6.974648475646973,64,10,1797
digits,shannon,0,0.8240740740740741,6.3410130962335725,10,243,8.3685941696167,64,10,1797
digits,misclassification,0,0.8611111111111112,5.006062970710715,12,265,7.9813385009765625,64,10,1797
digits,renyi_0.5,0,0.8351851851851851,5.9405280585767155,11,221,8.559942960739136,64,10,1797
digits,renyi_2.0,0,0.8333333333333334,6.007275564852858,14,271,10.768834829330444,64,10,1797
digits,tsallis_0.5,0,0.8574074074074074,5.139557983263002,11,221,8.209471225738525,64,10,1797
digits,tsallis_1.3,0,0.8462962962962963,5.540043020919859,12,221,8.090434551239014,64,10,1797
digits,tsallis_2.0,0,0.85,5.406548008367572,11,241,8.558311700820923,64,10,1797
digits,norm_tsallis_1.3,0,0.8407407407407408,5.740285539748287,12,229,8.44161057472229,64,10,1797
digits,kumaraswamy,0,0.8203703703703704,6.474508108785859,16,247,10.076329469680786,64,10,1797
digits,cross_entropy,0,0.10185185185185185,32.37254054392929,0,1,0.23551082611083984,64,10,1797
digits,kl_divergence,0,0.10185185185185185,32.37254054392929,0,1,0.23525214195251465,64,10,1797
digits,js_divergence,0,0.10185185185185185,32.37254054392929,0,1,0.27513837814331055,64,10,1797
digits,hellinger,0,0.10185185185185185,32.37254054392929,0,1,0.24393510818481445,64,10,1797
digits,energy,0,0.10185185185185185,32.37254054392929,0,1,0.22678732872009277,64,10,1797
digits,polarization_3.5,0,0.46111111111111114,19.423524326357576,12,163,9.952692031860352,64,10,1797
digits,bregman_squared,0,0.10185185185185185,32.37254054392929,0,1,0.26099061965942383,64,10,1797
digits,bregman_entropy,0,0.10185185185185185,32.37254054392929,0,1,0.36032652854919434,64,10,1797
digits,itc,0,0.8203703703703704,6.474508108785859,11,221,13.764661312103271,64,10,1797
